Adam Brody,31 New Jersey USA,541312,ab@domain.com
Ben Stiller,40 New Jersey USA,54545,ben@gmail.com
Billy Chrystal,13 Monster State USA,745998,wazowski@monster.inc
Brad Pitt,41 New Jersey USA,946312,bp@domain.com
Cameron Diaz,3 Charlies Town USA,876598,angel@hotmail.com
Christian Bale,190 New Jersey USA,546311,christian_bale@gmail.com
D. B. Sweeney,27 New Jersey USA,20038,sweeney@gmail.com
Daniel Craig,MI6 HQ London UK,19211,james.bond@mi6.uk
David Kelly,53 New Jersey USA,546319,dk@domain.com
Douglas Wick,Washignton CA 16-17 USA,12570,doug@gmail.com
Dougray Scott,Washignton CA 13-14 USA,13326,dougray@yahoo.com
Eric Leighton,26 New Jersey USA,20037,eric@fb.co.in
Eva Mendes,319 New Jersey USA,546312,eva_mendes@gmail.com
George Clooney,43 Descendant Town USA,6523456,clooney@gmail.com
Halle Berry,Flinstones New york USA,13333,halle.berry@yahoo.com
Helen Hunt,Washignton CA 23-24 USA,12581,hele@gmail.com
Hugh Jackman,Abs Beverly Hills CA 90210-3604 USA,343434,hj@domain.com
Jack Rapke,Washignton CA 20-21 USA,12578,jack@outlook.com
Joaquin Phoenix,Washignton CA 19-20 USA,12572,joa@nomail.com
John Woo,Washignton CA 15-16 USA,12569,john@mi2.com
Johnny Depp,Pirates Inn Beverly Hills CA 90210-3604 USA,12345,jack.sparrow@gmail.com
Justin Chatwin,Washignton 16 USA,546212,jc@domain.com
Kate Beckinsale,87 Paulo Alto USA,345667,seline@vampires.com
Lauren Shuler Donner,89 New Jersey USA,69875,lauren@fb.com
Mel Gibson,16 New Jersey,12657,mel@fb.com
Michael Caine,219 New Jersey USA,446312,mc@domain.com
Miranda Otto,113 New Jersey USA,543261,miranda_otto@gmail.com
Nancy Meyers,15 New Jersey,89785,nancy@fb.com
Orlando Bloom,45 Penn State Ohio USA,87609,bloom@fb.com
Ossie Davis,28 New Jersey USA,20040,ossie@fb.com
Pam Marsden,25 New Jersey USA,20036,pam@gmail.com
Ridley Scott,Washignton CA 17-18 USA,12571,ridley@gmail.com
Robert De Niro,29 New Jersey USA,60054,robertde@fb.com
Robert Zemeckis,Washignton CA 21-22 USA,12579,robert@gmail.com
Rupert Grint,23 Beverly Hills USA,7675455,rupert@hotmail.com
Russell Crowe,Washignton CA 18-19 USA,12573,russel@hotmail.com
Susan Cartsonis,14 New Jersey USA,60045,susan@gmail.co.in
Thandie Newton,Washignton CA 14-15 USA,12568,thandle@yahoo.com
Tim Robbins,115 New Jersey USA,549862,tr@domain.com
Tom Cruise,Washignton 12-13 USA,13325,tommy@yahoo.com
Tom Hanks,Forrest Beverly Hills CA 90210-2204 USA,13324,forrest.gump@sixth.com
Rachel Weisz,43 bon temps usa,3435432,fairfax@conspiracy.com
Sam Neil,23 Isle Verna Jurrasic,67878,dr.grant@jurrasic.com
Helena Boham Carter,Cell 23 Azkaban Prison,987656,bellatrix@deatheater.com
Anthony Hopkins,32 Princeton Avenue New jersey USA,324234,anthony@hannibal.com
Patrick Stewart,Mirfield Yorkshire England UK,589128,pat@xman.com
Elijah Wood,Cedar Rapids Iowa USA,23894,eliw@thelord.com
Viggo Mortensen,Manhattan New York City New York USA,6879,viggo@gmail.com
Mark Wahlberg,Dorchester Boston Massachusetts USA,51971,wahlberg@yahoo.in
Edward Norton,Boston Massachusetts USA,181969,edward@TIJ.com
Eric Bana,Melbourne Victoria Australia,91968,eric@hulk.in
Jennifer Connelly,Catskill Mountains New York USA,121970,jan@hulk.in
scott Speedman,London England UK,11975,scs@under.com
Eliza Dushku,Boston Massachusetts USA,301980,eliza@usa.in
Jeremy Sisto,Grass Valley California USA,61974,jeremy@gmail.com
Tobey Maguire,Villey USA ,21233,tobey@rediffmail.com
Leandro Firmino,New Jersey USA,13311244,firmino@gmail.com
Chris Cooper,Old Palace London,132312312,coop@ref.com
Christopher Walken,A.S Church London,122321,walcher@yahoo.com
Tim Matheson,Nahrin Point NewYork,2331312,timmath@fin.com
Matthew Lillard ,Dwayne Church France,23231,lillard@tuse.com
Mekhi Phifer,George tub Germany,31231,mekhi@gmail.com
